X,Y,out
0.836261492,0.000102515,0.836261499
0.434325747,0.00017887,0.434325784
0.157026054,0.000315224,0.15702637
0.554548174,0.000326926,0.554548271
0.974987467,0.000350542,0.97498753
0.615884065,0.000382138,0.615884184
0.161036457,0.0004401,0.161037059
0.742540134,0.000570729,0.742540353
0.438997854,0.000676777,0.438998376
0.805534425,0.000689128,0.805534719
0.459250846,0.000712017,0.459251398
0.42683054,0.000757229,0.426831212
0.356751899,0.000818019,0.356752837
0.466097427,0.000835009,0.466098175
0.426066571,0.000902051,0.426067526
0.295643596,0.000930534,0.295645061
0.024995234,0.000957461,0.025013565
0.587228397,0.000961671,0.587229184
0.956579565,0.001121337,0.956580222
0.518234628,0.001169045,0.518235946
0.542189851,0.001264481,0.542191326
0.879811727,0.001288157,0.87981267
0.673539365,0.001297558,0.673540615
0.142956545,0.00131752,0.142962616
0.02881404,0.001383491,0.028847235
0.193257359,0.001414423,0.193262535
0.890934361,0.001548135,0.890935706
0.300374274,0.00156151,0.300378333
0.137278811,0.001788666,0.137290463
0.793687188,0.001807839,0.793689247
0.924646103,0.001942587,0.924648143
0.814272714,0.001974085,0.814275107
0.12729098,0.001997002,0.127306644
0.660055394,0.002051384,0.660058581
0.676058338,0.002060622,0.676061479
0.128075489,0.002085817,0.128092473
0.515208965,0.002290265,0.515214055
0.155531716,0.002512203,0.155552004
0.939954338,0.002513301,0.939957698
0.290424169,0.002646123,0.290436223
0.913232884,0.002733597,0.913236975
0.13551878,0.002942185,0.135550714
0.049617629,0.002983719,0.04970726
0.415974731,0.002994488,0.415985509
0.499688471,0.003001625,0.499697486
0.719495149,0.003054996,0.719501634
0.022471234,0.003089877,0.022682674
0.558062627,0.003199806,0.558071801
0.713148628,0.003202151,0.713155817
0.949199436,0.003348812,0.949205343
0.662343338,0.003358851,0.662351855
0.378076571,0.003376368,0.378091647
0.847661097,0.003483351,0.847668254
0.757426335,0.003509138,0.757434464
0.2414896,0.003628812,0.241516863
0.517897289,0.003897874,0.517911957
0.510635838,0.003987949,0.51065141
0.610679715,0.004169689,0.61069395
0.401936784,0.004218372,0.401958919
0.670381221,0.004310784,0.670395081
